province,empire,old_faith,new_faith,transition
12283,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12434,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12457,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12501,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12520,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12658,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12792,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12797,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12815,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12859,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
12892,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13015,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13064,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13065,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13107,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13146,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13197,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13209,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13227,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13259,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13307,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13318,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13434,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13520,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13680,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13682,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13750,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13780,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13791,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13808,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13846,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13924,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
13954,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14080,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14132,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14158,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14261,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14361,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14450,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14468,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14525,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14621,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14788,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14799,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14820,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14835,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14883,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14902,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
14948,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15076,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15176,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15406,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15416,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15466,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15534,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15591,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15658,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15669,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15682,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15735,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15776,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15900,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15945,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15958,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
15999,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16029,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16112,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16119,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16126,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16152,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16155,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16173,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16199,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16268,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16283,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16296,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16302,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16394,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16408,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16477,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16485,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16563,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16566,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16637,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16897,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16942,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16954,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
16959,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17062,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17264,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17312,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17416,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17471,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17553,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17572,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17573,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17597,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17615,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17639,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17724,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17794,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17893,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17918,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
17988,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18016,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18069,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18081,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18156,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18258,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18315,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18441,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
18510,e_ibben,ib_ven_god_king,ib_ven_sound,7899.8.14
