date,holder,culture,title,tier,empire,source_file,old_government,new_government,rule_type,rule_scope,confidence
100.1.1,Local_Rulers_Asshai_Shadowlands,shadowman,c_lazyros,1,,history/titles/lv_k_asshai.txt,,tribal_government,culture,shadowman,low
100.1.1,Local_Rulers_Sothoryos,brindled_man,c_aft_gorosh,1,,history/titles/agot_sothori_history_titles.txt,,tribal_government,history_file,agot_sothori_history_titles.txt,medium
100.1.1,Local_Rulers_Valyria_Oros_Valyrian,valyrian_original,c_oros,1,,history/titles/lv_k_valyria.txt,,oligarchic_government,history_file,lv_k_valyria.txt,high
7239.2.1,Nymeros_2,,d_ny_sar,2,,history/titles/lv_k_rhoyne.txt,,feudal_government,history_file,lv_k_rhoyne.txt,medium
7266.4.4,Nymeros_4,,d_ny_sar,2,,history/titles/lv_k_rhoyne.txt,,feudal_government,history_file,lv_k_rhoyne.txt,medium
7282.10.1,Nymeros_6,,d_ny_sar,2,,history/titles/lv_k_rhoyne.txt,,feudal_government,history_file,lv_k_rhoyne.txt,medium
7299.4.4,Nymeros_1,,d_ny_sar,2,,history/titles/lv_k_rhoyne.txt,,feudal_government,history_file,lv_k_rhoyne.txt,medium
7820.1.1,Ghazeen_1,meereenese,c_ghazeen_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7839.1.1,Ghazeen_2,meereenese,c_ghazeen_pyramid,1,,history/titles/lv_k_meereen.txt,,oligarchic_government,history_file,lv_k_meereen.txt,high
7839.1.1,Reznak_1,meereenese,c_khyzai_pass,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7840.1.1,Volnyros_1,volantene,c_selhorys,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7847.1.1,Qheadar_1,essosi_valyrian,c_vasyugys,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7849.1.1,Barlaeris_1,mantaryan,c_elarion,1,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7849.1.1,Kirines_1,volantene,d_volon_therys,2,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7849.1.1,Loraq_1,meereenese,k_meereen,3,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7849.1.1,Nakloz_1,astapori,c_nf_nakloz,1,,history/titles/lv_nf_titles.txt,oligarchic_government,oligarchic_government,history_file,lv_k_astapor.txt,high
7849.1.1,Pendaeron_1,mantaryan,c_treylys,1,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7849.1.1,Quazzar_1,meereenese,c_nf_quazzar,1,,history/titles/lv_nf_titles.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7849.1.1,Szarr_1,mantaryan,c_elyndor,1,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7849.1.1,Zobridar_1,mantaryan,d_mantarys,2,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7850.1.1,Pahl_1,meereenese,c_demon_road,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7850.1.1,Qaggaz_1,yunkaii,k_yunkai,3,,history/titles/lv_k_yunkai.txt,oligarchic_government,oligarchic_government,history_file,lv_k_yunkai.txt,high
7850.1.1,Stogarys_1,volantene,c_mavlys,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7850.1.1,Zherzyn_1,yunkaii,c_nf_zherzyn,1,,history/titles/lv_nf_titles.txt,oligarchic_government,oligarchic_government,history_file,lv_k_yunkai.txt,high
7851.1.1,Ahlaq_1,yunkaii,c_nf_ahlaq,1,,history/titles/lv_nf_titles.txt,oligarchic_government,oligarchic_government,history_file,lv_k_yunkai.txt,high
7852.1.1,Dhazak_1,meereenese,c_dhazak_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7852.1.1,Tagaros_1,essosi_valyrian,d_nf_tagaros,2,,history/titles/lv_nf_titles.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7855.1.1,Hazkar_1,meereenese,c_hazkar_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7855.1.1,Rhazdar_1,meereenese,c_nf_rhazdar,1,,history/titles/lv_nf_titles.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7857.1.1,Naqqan_1,meereenese,c_naqqan_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7858.1.1,34569149,ghaeni,c_ghaen,1,,history/titles/lv_k_ghiscar.txt,,oligarchic_government,history_file,lv_k_ghiscar.txt,medium
7858.1.1,Loraq_1,meereenese,c_loraq_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7858.1.1,Rebagyr_1,mantaryan,c_demon_pass,1,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7859.1.1,34469148,ghaeni,c_baked_shore,1,,history/titles/lv_k_ghiscar.txt,,oligarchic_government,history_file,lv_k_ghiscar.txt,medium
7859.1.1,Eraz_1,yunkaii,c_maelk,1,,history/titles/lv_k_yunkai.txt,oligarchic_government,oligarchic_government,history_file,lv_k_yunkai.txt,high
7859.1.1,Marsiglio_1,volantene,c_anyria,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7859.1.1,Mazemagyr_1,tolosi,c_black_cliffs,1,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7859.1.1,Qaggaz_1,yunkaii,c_kaldeen,1,,history/titles/lv_k_yunkai.txt,oligarchic_government,oligarchic_government,history_file,lv_k_yunkai.txt,high
7860.1.1,Grazdhan_1,astapori,c_gadhis,1,,history/titles/lv_k_astapor.txt,oligarchic_government,oligarchic_government,history_file,lv_k_astapor.txt,high
7860.1.1,Kandaq_1,meereenese,c_kandaq_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7860.1.1,LV_Votar_1,essosi_valyrian,d_nf_votar,2,,history/titles/lv_nf_titles.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7860.1.1,Lomberys_1,volantene,c_plains_of_maegys,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7860.1.1,Mazlaq_1,astapori,c_ghiscar_point,1,,history/titles/lv_k_astapor.txt,oligarchic_government,oligarchic_government,history_file,lv_k_astapor.txt,high
7860.1.1,Nefatis_1,volantene,d_valon_sar,2,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7860.1.1,Paenymion_1,essosi_valyrian,d_nf_paenymion,2,,history/titles/lv_nf_titles.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7860.1.1,Volantis_1,essosi_valyrian,k_volantis,3,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7860.1.1,Yherizan_1,meereenese,c_green_gate,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7861.1.1,Qheadar_2,essosi_valyrian,c_vasyugys,1,,history/titles/lv_k_volantis.txt,,administrative_government,history_file,lv_k_volantis.txt,high
7862.1.1,Isnardo_1,volantene,c_ar_mynar,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7862.1.1,Oliviriana_1,volantene,c_laboros,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7862.1.1,Quazzar_2,meereenese,c_nf_quazzar,1,,history/titles/lv_nf_titles.txt,,oligarchic_government,history_file,lv_k_meereen.txt,high
7864.1.1,LV_Merreq_1,meereenese,c_merreq_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7865.1.1,Grazlar_1,astapori,c_horns_of_hazzat,1,,history/titles/lv_k_astapor.txt,oligarchic_government,oligarchic_government,history_file,lv_k_astapor.txt,high
7866.1.1,Azantone_1,tolosi,d_tolos,2,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7866.1.1,Dhazak_2,meereenese,c_dhazak_pyramid,1,,history/titles/lv_k_meereen.txt,,oligarchic_government,history_file,lv_k_meereen.txt,high
7866.1.1,Local_Rulers_Volantis_Selhorys,volantene,c_oryniel,1,,history/titles/lv_k_volantis.txt,,administrative_government,history_file,lv_k_volantis.txt,high
7866.1.1,Local_Rulers_Volantis_Volaena,volantene,c_numurys,1,,history/titles/lv_k_volantis.txt,,administrative_government,history_file,lv_k_volantis.txt,high
7866.1.1,Lodaorys_1,mantaryan,c_painted_valleys,1,,history/titles/lv_k_north_valyria.txt,,oligarchic_government,history_file,lv_k_north_valyria.txt,medium
7866.1.1,Vaelaros_1,essosi_valyrian,c_jelsah,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7866.1.1,Vhassar_1,essosi_valyrian,c_arlior_geron,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7866.1.1,Yunzak_1,yunkaii,c_nf_yunzak,1,,history/titles/lv_nf_titles.txt,oligarchic_government,oligarchic_government,history_file,lv_k_yunkai.txt,high
7867.1.1,Dhogarys_1,volantene,c_honors_port,1,,history/titles/lv_k_volantis.txt,administrative_government,administrative_government,history_file,lv_k_volantis.txt,high
7867.1.1,Galare_1,meereenese,c_galare_pyramid,1,,history/titles/lv_k_meereen.txt,oligarchic_government,oligarchic_government,history_file,lv_k_meereen.txt,high
7867.1.1,Reznak_2,meereenese,c_khyzai_pass,1,,history/titles/lv_k_meereen.txt,,oligarchic_government,history_file,lv_k_meereen.txt,high
7867.1.1,Volnyros_2,volantene,c_selhorys,1,,history/titles/lv_k_volantis.txt,,administrative_government,history_file,lv_k_volantis.txt,high
7868.1.1,34433914,asshaii,d_chalysa,2,,history/titles/lv_k_asshai.txt,,oligarchic_government,history_file,lv_k_asshai.txt,low
7868.1.1,34469152,ghaeni,c_atruskai,1,,history/titles/lv_k_ghiscar.txt,,oligarchic_government,history_file,lv_k_ghiscar.txt,medium
7868.1.1,34533911,asshaii,d_the_saffron_lands,2,,history/titles/lv_k_asshai.txt,,oligarchic_government,history_file,lv_k_asshai.txt,low
7868.1.1,Adiur_1,asshaii,k_asshai,3,,history/titles/lv_k_asshai.txt,,oligarchic_government,history_file,lv_k_asshai.txt,low
7868.1.1,Local_Rulers_Asshai,asshaii,c_ashen_shore,1,,history/titles/lv_k_asshai.txt,,oligarchic_government,history_file,lv_k_asshai.txt,low
7868.1.1,Local_Rulers_Asshai_Chalysa,asshaii,c_arrat,1,,history/titles/lv_k_asshai.txt,,oligarchic_government,history_file,lv_k_asshai.txt,low
7868.1.1,Local_Rulers_Asshai_Hattar,shadowman,c_eranos,1,,history/titles/lv_k_asshai.txt,,tribal_government,culture,shadowman,low
7868.1.1,Local_Rulers_Asshai_Maruza,shadowman,c_maruza,1,,history/titles/lv_k_asshai.txt,,tribal_government,culture,shadowman,low
7868.1.1,Local_Rulers_Asshai_Ostiros,shadowman,c_jaqor,1,,history/titles/lv_k_asshai.txt,,tribal_government,culture,shadowman,low
7868.1.1,Local_Rulers_Asshai_Saffron_Lands,asshaii,c_aures,1,,history/titles/lv_k_asshai.txt,,oligarchic_government,history_file,lv_k_asshai.txt,low
7868.1.1,Ninmarki_1,shadowman,d_hattar,2,,history/titles/lv_k_asshai.txt,,tribal_government,culture,shadowman,low
7869.1.1,34469149,ghaeni,c_ghaen,1,,history/titles/lv_k_ghiscar.txt,,oligarchic_government,history_file,lv_k_ghiscar.txt,medium
