character,source_file,old_faith,new_faith,transition,mode
gen_2357,history/characters/essos_7898_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2358,history/characters/essos_7898_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2359,history/characters/essos_7898_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2360,history/characters/essos_7898_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2361,history/characters/essos_7898_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2362,history/characters/essos_7898_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2762,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2763,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2764,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2765,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2766,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2767,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2768,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2769,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2770,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2771,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2772,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2773,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2774,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2775,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2776,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2777,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2778,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2779,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2780,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_2781,history/characters/essos_7898_vassal_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,dated_transition
gen_289,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_290,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_291,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_292,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_293,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_294,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_295,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_296,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_297,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_298,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_299,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_300,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_301,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_302,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_303,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_304,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_305,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_306,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_307,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_308,history/characters/vassal_characters.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_4,history/characters/empire_rulers.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_899,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_900,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_901,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
